Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,1.825000,1.825000,1.825000,1.825000,1.825000,0
2022-11-08,1.829000,1.829000,1.829000,1.829000,1.829000,0
2022-11-09,1.839000,1.839000,1.839000,1.839000,1.839000,0
2022-11-10,1.844000,1.844000,1.844000,1.844000,1.844000,0
2022-11-11,1.882000,1.882000,1.882000,1.882000,1.882000,0
2022-11-14,1.901000,1.901000,1.901000,1.901000,1.901000,0
2022-11-15,1.913000,1.913000,1.913000,1.913000,1.913000,0
2022-11-16,1.908000,1.908000,1.908000,1.908000,1.908000,0
2022-11-17,1.920000,1.920000,1.920000,1.920000,1.920000,0
2022-11-18,1.915000,1.915000,1.915000,1.915000,1.915000,0
2022-11-21,1.901000,1.901000,1.901000,1.901000,1.901000,0
2022-11-22,1.904000,1.904000,1.904000,1.904000,1.904000,0
2022-11-23,1.900000,1.900000,1.900000,1.900000,1.900000,0
2022-11-24,1.902000,1.902000,1.902000,1.902000,1.902000,0
2022-11-25,1.897000,1.897000,1.897000,1.897000,1.897000,0
2022-11-28,1.892000,1.892000,1.892000,1.892000,1.892000,0
2022-11-29,1.913000,1.913000,1.913000,1.913000,1.913000,0
2022-11-30,1.922000,1.922000,1.922000,1.922000,1.922000,0
2022-12-01,1.922000,1.922000,1.922000,1.922000,1.922000,0
2022-12-02,1.906000,1.906000,1.906000,1.906000,1.906000,0
2022-12-05,1.910000,1.910000,1.910000,1.910000,1.910000,0
2022-12-06,1.899000,1.899000,1.899000,1.899000,1.899000,0
2022-12-07,1.880000,1.880000,1.880000,1.880000,1.880000,0
2022-12-08,1.888000,1.888000,1.888000,1.888000,1.888000,0
2022-12-09,1.894000,1.894000,1.894000,1.894000,1.894000,0
2022-12-12,1.888000,1.888000,1.888000,1.888000,1.888000,0
2022-12-13,1.904000,1.904000,1.904000,1.904000,1.904000,0
2022-12-14,1.907000,1.907000,1.907000,1.907000,1.907000,0
2022-12-15,1.901000,1.901000,1.901000,1.901000,1.901000,0
2022-12-16,1.880000,1.880000,1.880000,1.880000,1.880000,0
2022-12-19,1.890000,1.890000,1.890000,1.890000,1.890000,0
2022-12-20,1.885000,1.885000,1.885000,1.885000,1.885000,0
2022-12-21,1.887000,1.887000,1.887000,1.887000,1.887000,0
2022-12-22,1.896000,1.896000,1.896000,1.896000,1.896000,0
2022-12-23,1.889000,1.889000,1.889000,1.889000,1.889000,0
2022-12-27,1.892000,1.892000,1.892000,1.892000,1.892000,0
2022-12-28,1.892000,1.892000,1.892000,1.892000,1.892000,0
2022-12-29,1.882000,1.882000,1.882000,1.882000,1.882000,0
